# Radius (nm), Energy
1.000000000000000062e-09,5.944927969816448240e+03
2.000000000000000125e-09,7.431159962270560300e+02
3.000000000000000394e-09,2.201825174006091856e+02
4.000000000000000249e-09,9.288949952838200375e+01
5.000000000000000105e-09,4.755942375853159376e+01
5.999999999999999960e-09,2.752281467507615886e+01
7.000000000000000643e-09,1.733215151549984867e+01
8.000000000000000498e-09,1.161118744104775047e+01
9.000000000000001181e-09,8.154908051874413033e+00
1.000000000000000186e-08,5.944927969816447444e+00
1.100000000000000089e-08,4.466512374016866183e+00
1.200000000000000157e-08,3.440351834384518526e+00
1.300000000000000226e-08,2.705929890676579852e+00
1.400000000000000129e-08,2.166518939437481084e+00
1.500000000000000197e-08,1.761460139204873432e+00
1.600000000000000100e-08,1.451398430130968809e+00
1.700000000000000002e-08,1.210040295097995156e+00
1.799999999999999905e-08,1.019363506484302295e+00
1.900000000000000139e-08,8.667339218277370083e-01
2.000000000000000042e-08,7.431159962270561525e-01
2.099999999999999945e-08,6.419315376111057736e-01
2.200000000000000178e-08,5.583140467521082728e-01
2.300000000000000081e-08,4.886108300991575115e-01
2.399999999999999984e-08,4.300439792980649822e-01
2.500000000000000218e-08,3.804753900682527057e-01
2.600000000000000121e-08,3.382412363345727035e-01
2.700000000000000023e-08,3.020336315509043468e-01
2.799999999999999926e-08,2.708148674296852465e-01
2.900000000000000160e-08,2.437544782408646860e-01
3.000000000000000394e-08,2.201825174006091790e-01
3.100000000000000627e-08,1.995544953112163566e-01
3.200000000000000199e-08,1.814248037663711011e-01
3.300000000000000433e-08,1.654263842228468617e-01
3.400000000000000667e-08,1.512550368872492834e-01
3.500000000000000239e-08,1.386572121239988131e-01
3.600000000000000472e-08,1.274204383105377036e-01
3.700000000000000706e-08,1.173657625375880281e-01
3.800000000000000278e-08,1.083417402284671260e-01
3.900000000000000512e-08,1.002196255806141051e-01
4.000000000000000745e-08,9.288949952838199131e-02
4.100000000000000317e-08,8.625713454268581215e-02
4.200000000000000551e-08,8.024144220138818007e-02
4.300000000000000785e-08,7.477238444182834898e-02
4.400000000000000357e-08,6.978925584401353410e-02
4.500000000000000590e-08,6.523926441499530715e-02
4.600000000000000824e-08,6.107635376239466118e-02
4.700000000000000396e-08,5.726022143278895749e-02
4.800000000000000630e-08,5.375549741225810196e-02
4.900000000000000864e-08,5.053105398104910939e-02
5.000000000000000435e-08,4.755942375853158821e-02
5.100000000000000669e-08,4.481630722585165649e-02
5.200000000000000241e-08,4.228015454182158794e-02
5.300000000000000475e-08,3.993180927756771054e-02
5.400000000000000709e-08,3.775420394386302947e-02
5.500000000000000281e-08,3.573209899213493357e-02
5.600000000000000514e-08,3.385185842871064194e-02
5.700000000000000748e-08,3.210125636399025623e-02
5.800000000000000320e-08,3.046930978010808574e-02
5.900000000000000554e-08,2.894613358627926014e-02
6.000000000000000787e-08,2.752281467507614737e-02
6.100000000000000359e-08,2.619130222272546271e-02
6.199999999999999931e-08,2.494431191390205846e-02
6.299999999999999503e-08,2.377524213374466316e-02
6.400000000000000399e-08,2.267810047079638763e-02
6.499999999999999971e-08,2.164743912541265344e-02
6.599999999999999543e-08,2.067829802785586812e-02
6.700000000000000438e-08,1.976615464607165210e-02
6.800000000000000010e-08,1.890687961090617430e-02
6.899999999999999582e-08,1.809669741107991156e-02
7.000000000000000477e-08,1.733215151549985164e-02
7.100000000000000049e-08,1.661007336968254450e-02
7.199999999999999621e-08,1.592755478881722336e-02
7.300000000000000517e-08,1.528192333449810217e-02
7.400000000000000089e-08,1.467072031719851219e-02
7.499999999999999661e-08,1.409168111363899405e-02
7.600000000000000556e-08,1.354271752855839075e-02
7.700000000000000128e-08,1.302190196506375179e-02
7.799999999999999700e-08,1.252745319757676661e-02
7.900000000000000595e-08,1.205772356713454528e-02
8.000000000000000167e-08,1.161118744104775238e-02
8.099999999999999739e-08,1.118643079818164299e-02
8.200000000000000635e-08,1.078214181783572652e-02
8.300000000000000207e-08,1.039710236472051602e-02
8.399999999999999779e-08,1.003018027517352771e-02
8.500000000000000674e-08,9.680322360783958149e-03
8.600000000000000246e-08,9.346548055228548826e-03
8.699999999999999818e-08,9.027943638550545852e-03
8.800000000000000714e-08,8.723656980501691763e-03
8.900000000000000285e-08,8.432892751052101579e-03
8.999999999999999857e-08,8.154908051874416863e-03
9.100000000000000753e-08,7.889008427628515369e-03
9.200000000000000325e-08,7.634544220299336117e-03
9.299999999999999897e-08,7.390907233748758576e-03
9.400000000000000792e-08,7.157527679098619686e-03
9.500000000000000364e-08,6.933871374621896309e-03
9.599999999999999936e-08,6.719437176532265348e-03
9.700000000000000832e-08,6.513754619470991936e-03
9.800000000000000404e-08,6.316381747631141276e-03
9.899999999999999976e-08,6.126903119364701666e-03
9.999999999999999547e-08,5.944927969816450261e-03
